,Symbol,Last,Change,%Chg,Gap Up,Gap Up%,High,Volume
0,LODE,5.34,+3.09,+137.33%,+7.51,+323.71%,9.85,"138,312,510"
1,PETZ,6.90,+3.77,+120.45%,+5.48,+166.57%,14.52,"23,462,304"
2,CLPS,15.84,+10.94,+223.27%,+8.22,+161.18%,19.78,"93,777,776"
3,DOGZ,3.32,+1.09,+48.88%,+1.45,+64.16%,4.85,"88,410,063"
4,ONCY,3.66,+0.65,+21.59%,+1.64,+54.30%,4.68,"12,801,040"
5,AKU,3.78,+0.44,+13.17%,+0.66,+19.67%,4.00,"2,593,846"
6,EBON,9.18,+1.30,+16.50%,+1.34,+15.76%,11.24,"61,269,014"
7,TUSK,5.74,+0.72,+13.98%,+0.77,+14.72%,6.21,"571,620"
8,AHAC,11.77,+1.31,+12.52%,+1.53,+14.37%,12.30,"2,574,579"
9,CHNR,2.72,+0.42,+18.26%,+0.32,+13.79%,3.65,"12,696,011"
10,CREX,2.80,+0.24,+9.37%,+0.32,+12.03%,3.13,"1,215,815"
11,VSTM,2.83,+0.35,+14.11%,+0.30,+12.00%,3.04,"8,163,417"
12,CNET,4.48,+1.01,+29.11%,+0.49,+11.95%,5.30,"26,375,085"
13,SRAX,6.20,-0.10,-1.61%,+0.74,+11.84%,7.20,"812,628"
14,VISL,4.81,+0.46,+10.57%,+0.53,+11.78%,5.35,"17,370,082"
15,UAMY,1.6800,+0.3300,+19.64%,+0.2100,+11.41%,1.8400,"6,548,512"
16,AQMS,6.83,+0.77,+12.71%,+0.72,+10.76%,8.06,"16,287,765"
17,ANTE,5.28,+0.33,+6.67%,+0.56,+10.73%,6.88,"3,719,805"
18,RIOT,69.93,+10.43,+17.53%,+6.57,+10.73%,72.03,"34,381,086"
19,KRNT,108.53,+11.04,+11.32%,+10.66,+10.70%,120.97,"718,025"
20,ACIC,15.60,+1.46,+10.33%,+1.56,+10.49%,16.48,"8,897,716"
21,BOMN,45.45,+3.70,+8.86%,+4.33,+10.24%,46.62,"344,479"
22,SOS,13.01,+1.17,+9.88%,+1.32,+9.64%,15.88,"153,917,473"
23,GLG,2.34,+0.02,+0.87%,+0.22,+9.21%,2.63,"1,557,147"
24,CETX,2.80,+0.12,+4.48%,+0.23,+8.58%,3.18,"2,858,600"
25,CSOD,54.47,+8.21,+17.75%,+4.03,+8.37%,54.88,"1,287,135"
26,DMAC,10.25,+0.85,+9.04%,+0.74,+7.64%,10.50,"347,736"
27,MFH,9.98,+1.58,+18.81%,+0.62,+7.36%,13.14,"2,614,269"
28,NKTR,24.68,+2.22,+9.88%,+1.53,+6.71%,26.75,"3,275,778"
29,EMAN,4.77,+0.16,+3.47%,+0.31,+6.61%,5.24,"3,548,078"
30,FAMI,2.1400,+0.1500,+7.61%,+0.1254,+6.13%,2.4700,"2,594,411"
31,TPCO,17.00,+1.03,+6.45%,+0.96,+5.99%,17.34,"2,074,093"
32,NES,3.19,-0.09,-2.77%,+0.19,+5.88%,3.49,"44,319"
33,SELB,4.99,+0.31,+6.62%,+0.28,+5.87%,5.05,"2,225,720"
34,CBAT,8.50,+0.22,+2.66%,+0.47,+5.68%,9.20,"24,276,153"
35,ZGYH,10.77,+0.36,+3.46%,+0.58,+5.57%,10.99,"462,353"
