,Symbol,Last,Change,%Chg,Gap Down,Gap Down%,High,Volume
33,KOD,133.37,-12.21,-8.39%,-5.50,-3.85%,138.99,"301,270"
34,EDRY,9.21,-1.33,-12.63%,-0.33,-3.61%,9.52,"83,986"
35,GNW,3.38,-0.39,-10.21%,-0.13,-3.60%,3.50,"12,502,924"
36,COHU,48.56,-1.02,-2.06%,-1.65,-3.35%,48.83,"269,186"
37,CSWI,127.72,-1.28,-0.99%,-4.23,-3.31%,128.85,"15,281"
38,FUV,24.79,-1.96,-7.33%,-0.86,-3.26%,25.84,"1,311,256"
39,BLDP,32.33,-1.42,-4.21%,-1.06,-3.18%,33.23,"4,392,964"
40,MAXN,45.18,-2.85,-5.93%,-1.50,-3.15%,47.42,"281,124"
41,BTI,36.93,-1.75,-4.52%,-1.20,-3.13%,37.21,"2,300,165"
42,SAIA,204.80,-7.55,-3.56%,-6.37,-3.08%,210.00,"85,263"
43,SHOP,"1,446.09",-27.91,-1.89%,-43.84,-3.07%,"1,440.92","2,152,603"
44,HMY,3.87,-0.08,-2.15%,-0.12,-3.05%,3.88,"4,536,059"
45,CLOV,11.36,-0.13,-1.13%,-0.34,-2.98%,11.49,"8,155,529"
46,DDD,44.67,-3.18,-6.65%,-1.41,-2.97%,47.61,"3,625,448"
47,ADTN,16.02,-0.23,-1.42%,-0.48,-2.97%,16.07,"133,776"
48,ATOS,3.35,-0.13,-3.88%,-0.10,-2.92%,3.42,"6,901,855"
49,ROKU,447.29,-22.41,-4.77%,-13.31,-2.85%,456.59,"2,623,799"
50,WB,58.97,-2.02,-3.31%,-1.73,-2.85%,59.40,"1,029,361"
51,CLLS,25.14,-2.19,-8.03%,-0.77,-2.82%,26.66,"230,773"
52,IOSP,96.85,-0.55,-0.56%,-2.75,-2.82%,98.36,"24,761"
53,RARE,142.44,-1.90,-1.32%,-4.05,-2.81%,144.89,"127,242"
54,BPMC,100.67,+7.47,+8.02%,-2.58,-2.77%,102.67,"425,320"
55,CLR,23.11,-1.18,-4.88%,-0.65,-2.77%,24.24,"2,869,633"
56,DHX,2.94,-0.04,-1.36%,-0.08,-2.73%,2.94,"46,024"
57,PCYG,7.43,+0.04,+0.54%,-0.20,-2.73%,7.44,"53,789"
58,SAP,125.94,-4.82,-3.69%,-3.55,-2.72%,127.14,"972,778"
59,CLSN,2.06,-0.21,-9.25%,-0.06,-2.69%,2.17,"6,291,137"
60,HBP,4.08,-0.07,-1.69%,-0.11,-2.67%,4.12,"19,023"
61,LEAF,6.70,-0.12,-1.76%,-0.18,-2.67%,6.72,"112,949"
62,QUMU,9.38,-0.43,-4.44%,-0.25,-2.60%,9.56,"28,054"
63,NIU,45.08,-4.35,-8.80%,-1.25,-2.57%,47.52,"1,440,212"
64,ENVA,29.15,-0.25,-0.85%,-0.73,-2.57%,29.24,"407,500"
65,IMNM,22.08,-1.57,-6.57%,-0.61,-2.55%,23.15,"53,331"
66,SOLY,12.96,-0.15,-1.15%,-0.33,-2.52%,12.99,"117,055"
67,MTSI,64.41,-3.28,-4.85%,-1.70,-2.52%,67.16,"137,247"
68,PRMW,16.32,-0.80,-4.67%,-0.43,-2.52%,16.61,"3,366,148"
69,YMAB,43.18,-2.94,-6.37%,-1.15,-2.52%,45.65,"63,685"
70,AKER,4.06,-0.76,-15.77%,-0.10,-2.50%,4.19,"1,117,259"
71,OSTK,99.63,-4.84,-4.63%,-2.58,-2.49%,102.87,"1,723,317"
72,DYAI,6.26,-0.19,-2.95%,-0.16,-2.48%,6.44,"114,468"
73,CHGG,103.59,-8.41,-7.51%,-2.70,-2.46%,107.84,"1,030,616"
74,YNDX,70.44,-2.33,-3.20%,-1.76,-2.44%,70.99,"1,622,938"
75,UMC,10.19,-0.50,-4.68%,-0.26,-2.40%,10.47,"5,819,088"
76,ALV,92.11,-1.74,-1.85%,-2.23,-2.38%,92.57,"155,774"
77,PRLD,84.30,-1.75,-2.03%,-1.96,-2.30%,86.69,"38,864"
78,STRO,23.61,-0.08,-0.34%,-0.54,-2.29%,23.85,"123,500"
79,POWW,8.09,-0.87,-9.71%,-0.19,-2.29%,8.44,"2,570,274"
80,API,97.66,-4.40,-4.31%,-2.27,-2.28%,100.04,"786,403"
81,IHG,69.67,-1.58,-2.22%,-1.62,-2.28%,69.67,"39,206"
82,MOR,27.82,-1.00,-3.48%,-0.64,-2.24%,28.01,"15,047"
83,DRD,9.55,-0.42,-4.21%,-0.22,-2.23%,9.76,"233,403"
84,DRIO,26.92,-1.58,-5.54%,-0.63,-2.22%,28.48,"174,966"
85,RGP,12.53,-0.20,-1.57%,-0.28,-2.22%,12.55,"71,466"
86,DGNR,11.49,-0.32,-2.71%,-0.26,-2.21%,11.60,"467,906"
87,BCOV,19.76,-0.44,-2.18%,-0.44,-2.19%,19.99,"138,958"
88,ENLC,4.39,-0.34,-7.08%,-0.10,-2.16%,4.54,"2,822,132"
89,MXIM,95.49,-0.67,-0.70%,-2.07,-2.16%,96.83,"572,151"
90,SSL,13.48,-0.56,-3.99%,-0.30,-2.16%,13.68,"701,188"
91,ITRM,2.27,+0.16,+7.58%,-0.04,-2.14%,2.33,"34,514,001"
92,AMS,2.77,-0.03,-1.04%,-0.06,-2.13%,2.82,"61,303"
93,NG,9.00,-0.02,-0.22%,-0.19,-2.11%,9.02,"463,141"
94,AVYA,30.17,-0.99,-3.18%,-0.65,-2.10%,30.87,"493,015"
95,BLKB,71.18,-1.73,-2.37%,-1.51,-2.08%,72.73,"275,670"
96,PBLA,4.64,-0.37,-7.46%,-0.10,-2.07%,4.88,"158,372"
97,BB,11.27,-0.94,-7.70%,-0.25,-2.07%,11.80,"18,132,768"
98,ZIXI,9.78,-0.03,-0.31%,-0.20,-2.07%,9.79,"150,595"
99,HTHT,57.80,-2.96,-4.87%,-1.24,-2.05%,59.30,"1,540,255"
100,Symbol,Last,Change,%Chg,Gap Down,Gap Down%,High,Volume
