,Symbol,Last,Change,%Chg,Gap Down,Gap Down%,High,Volume
0,IDXG,4.53,-1.31,-22.43%,-1.63,-29.06%,4.80,"874,940"
1,KAR,14.86,-3.60,-19.50%,-4.37,-23.72%,15.06,"8,349,587"
2,GTYH,6.67,-1.50,-18.36%,-1.84,-23.44%,7.40,"646,363"
3,BGI,2.61,-0.01,-0.39%,-0.33,-13.52%,2.72,"650,335"
4,AFI,3.84,-0.92,-19.33%,-0.61,-12.98%,4.11,"675,567"
5,AGFY,13.96,-2.05,-12.80%,-1.39,-8.86%,14.65,"2,871,346"
6,LZB,36.64,-3.31,-8.29%,-3.32,-8.38%,38.37,"549,187"
7,DNMR,45.80,-7.18,-13.55%,-4.36,-8.38%,48.73,"3,558,356"
8,ACCO,8.45,-0.38,-4.30%,-0.67,-7.63%,8.78,"360,020"
9,JT,3.68,-0.36,-9.14%,-0.28,-7.27%,3.87,"359,093"
10,WING,140.91,-25.08,-15.11%,-10.27,-6.23%,154.61,"975,125"
11,WIMI,10.54,-1.31,-11.05%,-0.70,-6.06%,11.39,"4,245,253"
12,OSBC,11.24,-0.07,-0.62%,-0.68,-6.01%,11.38,"16,810"
13,AU,21.66,-1.20,-5.25%,-1.33,-5.83%,21.63,"2,321,349"
14,IBIO,2.07,-0.26,-11.16%,-0.12,-5.53%,2.12,"15,338,936"
15,HSIC,66.68,-3.90,-5.53%,-3.81,-5.51%,67.36,"1,607,897"
16,OMF,48.73,-1.11,-2.23%,-2.90,-5.49%,50.20,"832,207"
17,ISUN,16.58,-1.38,-7.68%,-0.96,-5.38%,17.34,"273,495"
18,ABEO,2.36,-0.36,-13.24%,-0.14,-5.17%,2.61,"7,480,657"
19,DIOD,80.38,-1.40,-1.71%,-4.15,-5.11%,81.52,"189,713"
20,HQY,79.69,-5.71,-6.69%,-4.07,-4.83%,80.53,"1,959,152"
21,NEXA,9.37,-1.21,-11.59%,-0.49,-4.74%,10.41,"34,573"
22,STKS,4.50,+0.28,+6.57%,-0.20,-4.73%,4.75,"161,385"
23,SAH,41.98,-2.15,-4.87%,-2.01,-4.56%,43.29,"345,400"
24,MOMO,19.34,-0.74,-3.69%,-0.90,-4.53%,19.93,"3,588,182"
25,PACB,43.55,-2.82,-6.08%,-2.10,-4.52%,45.79,"2,254,953"
26,DDOG,103.45,-4.11,-3.82%,-4.65,-4.40%,105.29,"2,564,466"
27,ZOM,2.23,-0.14,-5.70%,-0.10,-4.29%,2.29,"75,986,851"
28,NVAX,268.06,+5.36,+2.04%,-10.80,-4.15%,273.03,"1,593,082"
29,TNET,78.73,-0.52,-0.66%,-3.21,-4.05%,79.90,"142,185"
30,CFAC,11.28,-2.26,-16.69%,-0.54,-4.01%,13.00,"4,504,558"
31,PKOH,32.21,+0.58,+1.83%,-1.20,-3.98%,32.49,"17,706"
32,ANY,2.73,-0.17,-5.84%,-0.11,-3.89%,2.86,"598,388"
