,Symbol,Last,Change,%Chg,Gap Down,Gap Down%,High,Volume
72,DYAI,6.28,-0.26,-4.03%,-0.16,-2.48%,6.44,"124,544"
73,CHGG,102.70,-9.30,-8.30%,-2.70,-2.46%,107.84,"1,347,909"
74,YNDX,70.52,-2.25,-3.09%,-1.76,-2.44%,70.99,"1,836,086"
75,UMC,10.25,-0.44,-4.12%,-0.26,-2.40%,10.47,"6,727,223"
76,ALV,91.58,-2.27,-2.42%,-2.23,-2.38%,92.57,"222,132"
77,PRLD,84.37,-1.69,-1.96%,-1.96,-2.30%,86.69,"46,156"
78,STRO,23.49,-0.20,-0.84%,-0.54,-2.29%,23.85,"156,117"
79,IHG,69.70,-1.38,-1.94%,-1.62,-2.28%,69.81,"45,667"
80,API,98.16,-3.90,-3.82%,-2.27,-2.28%,100.04,"944,173"
81,MOR,27.82,-1.00,-3.48%,-0.64,-2.24%,28.02,"17,244"
82,POWW,7.83,-1.13,-12.61%,-0.19,-2.24%,8.44,"2,805,968"
83,RGP,12.51,-0.22,-1.73%,-0.28,-2.24%,12.58,"91,557"
84,DRD,9.55,-0.42,-4.21%,-0.22,-2.23%,9.76,"299,968"
85,DRIO,27.62,-1.34,-4.70%,-0.63,-2.22%,28.48,"231,862"
86,DGNR,12.00,+0.19,+1.61%,-0.26,-2.21%,12.15,"1,161,263"
87,BCOV,19.83,-0.37,-1.83%,-0.44,-2.19%,19.99,"188,906"
88,MXIM,95.53,-0.63,-0.66%,-2.07,-2.16%,96.83,"678,034"
89,ENLC,4.38,-0.35,-7.40%,-0.10,-2.16%,4.54,"3,300,673"
90,SSL,13.46,-0.58,-4.13%,-0.30,-2.16%,13.68,"775,840"
91,AMS,2.87,-0.05,-1.73%,-0.06,-2.13%,2.87,"84,270"
92,NG,9.01,-0.01,-0.17%,-0.19,-2.11%,9.05,"679,997"
93,AVYA,30.00,-1.16,-3.72%,-0.65,-2.10%,30.87,"749,401"
94,BLKB,71.22,-1.69,-2.32%,-1.51,-2.08%,72.73,"318,273"
95,BB,11.19,-1.02,-8.35%,-0.25,-2.07%,11.80,"20,587,874"
96,PBLA,4.95,-0.01,-0.20%,-0.10,-2.07%,4.87,"240,423"
97,ZIXI,9.77,-0.04,-0.41%,-0.20,-2.07%,9.87,"177,045"
98,HTHT,57.97,-2.79,-4.59%,-1.24,-2.05%,59.30,"1,904,763"
99,RCEL,25.00,-0.04,-0.16%,-0.50,-2.04%,25.14,"91,598"
100,Symbol,Last,Change,%Chg,Gap Down,Gap Down%,High,Volume
